name,lon,lat,device_ids,aliases
玉泉出版社楼南侧,120.130264,30.265806,"[60459110,60459111]",原出版社|出版社
玉泉原电工厂,120.13011,30.27607,"[50359160,50359161,60359118,60359119]",原电工厂|电工厂
玉泉建发宿舍（内部）,120.129126,30.275069,"[60459101,60459102]",建发宿舍
玉泉教七北侧,120.12695,30.27066,"[51059127,60359122,60359123]",教七|第七教学大楼
玉泉教三北侧,120.129265,30.269646,"[50359156]",教三|第三教学大楼
玉泉教十八西侧,120.12753,30.26709,"[60359120,60359121]",教十八|第十八教学大楼
玉泉教十（内部）,120.127605,30.266046,"[60459109]",教十|第十教学大楼
玉泉新桥门南侧,120.133144,30.271072,"[60359127,60359131]",内单|新桥门
玉泉曹光彪楼南侧,120.12836,30.264809,"[50359162,50359163,60459119,60459120]",曹光彪楼|曹光彪|曹光彪高科技大楼
玉泉生仪楼南侧,120.128073,30.266517,"[50559147,50559148,50559149,50559150]",生仪|生仪学院|生仪楼
玉泉电机楼南侧,120.130101,30.266855,"[60459129,60459130]",机电工程楼|电机工程楼|电机楼
玉泉科工楼东侧,120.130415,30.266195,"[60659111]",科工楼
玉泉行政楼北侧,120.13176,30.269293,"[60359116,60359117]",微电子学院|行政楼|信电学院
玉泉高分子系北侧,120.125426,30.268901,"[50359157,50359164,50359165,50359166,50359167]",高分子|高分子楼
